Asset,Company,Country,Region,Sector,Facility_ID,Facility_Name,Facility_Type,Reporting_Year,Month,Emission_Type,Emission_Value_tCO2e,Emission_Method,Emission_Factor_Source,Regulator,Scope_1_tCO2e,Scope_2_tCO2e,Scope_3_tCO2e,Energy_Consumed_kWh,Flaring_Volume_Mscf,Methane_tons,Production_Volume,Production_Unit,Industry_Code,Data_Quality,Data_Type,Dataset_Version,Source,Latitude,Longitude,Facility_Status,Notes,Total_Emissions
Mine 11,Gamma Mining Corp,Qatar,Middle East,Mining,FAC-011,Pioneer Open-Pit Mine 11,Open-Pit Mine,2020,7,Total_GHG,880.661,Hybrid,EU EMEP/EEA,EU ETS,503.902,110.099,266.66,250408.38,49.88,12.875,7685.11,MWh,212299,High,Synthetic,v1.0,Generated,24.0043,50.7808,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,880.6610000000001
Refinery 12,Sequoia Refining,Canada,North America,Oil & Gas,FAC-012,Westfield Refinery 12,Refinery,2022,4,Total_GHG,2304.36,Direct Measurement,EPA AP-42,National Authority,774.457,47.745,1482.158,135376.52,534.707,25.232,1101.83,kbbl/day-eq,211120,High,Synthetic,v1.0,Generated,61.2307,-119.3021,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,2304.36
Concentrator 13,Beta Oilfield Services,USA,North America,Mining,FAC-013,Westfield Concentrator 13,Concentrator,2018,9,Total_GHG,760.573,Emission Factor,IPCC 2019,Local Authority,345.498,95.176,319.899,243973.14,47.988,7.17,7523.72,MWh,212299,Low,Synthetic,v1.0,Generated,35.9989,-66.0896,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,760.573
Gas Plant 14,Beta Oilfield Services,Canada,North America,Oil & Gas,FAC-014,Highland Onshore Gas Plant 14,Onshore Gas Plant,2022,4,Total_GHG,1482.184,Emission Factor,IPCC 2019,US EPA,518.378,33.03,930.776,100661.93,702.257,16.68,808.53,kbbl/day-eq,211120,High,Synthetic,v1.0,Generated,63.0453,-126.3206,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1482.184
Processing Plant 15,Vertex LNG,Australia,Asia-Pacific,Mining,FAC-015,Westfield Processing Plant 15,Processing Plant,2018,12,Total_GHG,688.201,Direct Measurement,EPA AP-42,EU ETS,261.945,104.573,321.683,225452.2,65.387,5.191,6037.47,tons/day,212299,Medium,Synthetic,v1.0,Generated,-18.181,136.3145,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,688.201
Smelter 16,Sequoia Refining,Norway,Europe,Mining,FAC-016,Riverview Smelter 16,Smelter,2024,3,Total_GHG,851.939,Direct Measurement,IPCC 2019,National Authority,435.192,114.836,301.911,262416.3,156.494,10.109,8011.36,tons/day,212299,Medium,Synthetic,v1.0,Generated,70.0349,11.1552,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,851.9390000000001
Offshore Platform 17,Vertex LNG,Saudi Arabia,Middle East,Oil & Gas,FAC-017,Lakeside Offshore Platform 17,Offshore Platform,2019,1,Total_GHG,1908.809,Hybrid,EPA AP-42,US EPA,557.363,44.1,1307.346,114858.56,951.449,17.576,991.2,MMscf,211120,High,Synthetic,v1.0,Generated,20.5779,45.9302,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1908.809
Gathering Hub 18,Epsilon Resources,USA,North America,Oil & Gas,FAC-018,Silverline Gathering Hub 18,Gathering Hub,2024,6,Total_GHG,1254.83,Hybrid,IEA 2023,Local Authority,371.898,56.501,826.431,140136.54,1079.311,9.952,1265.05,MWh,211120,High,Synthetic,v1.0,Generated,27.6017,-98.7953,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1254.83
Concentrator 19,Beta Oilfield Services,UAE,Middle East,Mining,FAC-019,Granite Concentrator 19,Concentrator,2021,12,Total_GHG,1025.95,Direct Measurement,EPA AP-42,Local Authority,545.158,79.034,401.758,192269.45,75.971,15.738,5854.22,tons/day,212299,High,Synthetic,v1.0,Generated,24.0285,54.3345,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1025.95
Aromatics Unit 20,Vertex LNG,India,Asia-Pacific,Petrochemicals,FAC-020,Pioneer Aromatics Unit 20,Aromatics Unit,2024,12,Total_GHG,779.285,Direct Measurement,IEA 2023,US EPA,350.551,57.362,371.372,160418.15,435.392,7.284,3048.52,tons/day,325110,High,Synthetic,v1.0,Generated,16.8432,72.274,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,779.2850000000001
Cracker Unit 21,Vertex LNG,Qatar,Middle East,Petrochemicals,FAC-021,Silverline Cracker Unit 21,Cracker Unit,2023,7,Total_GHG,2100.201,Hybrid,EU EMEP/EEA,US EPA,991.139,163.553,945.509,367910.25,1115.914,23.21,7196.53,tons/day,325110,Medium,Synthetic,v1.0,Generated,25.7723,51.1513,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2100.201
Compressor 22,Gamma Mining Corp,India,Asia-Pacific,Oil & Gas,FAC-022,Sunset Compressor Station 22,Compressor Station,2020,8,Total_GHG,1883.005,Direct Measurement,EPA AP-42,National Authority,704.644,70.224,1108.137,153381.41,620.426,22.42,1185.25,MWh,211120,Medium,Synthetic,v1.0,Generated,21.3516,87.7578,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1883.005
Gas Plant 23,Delta Petroleum,UAE,Middle East,Oil & Gas,FAC-023,Westfield Onshore Gas Plant 23,Onshore Gas Plant,2019,3,Total_GHG,1890.262,Emission Factor,IPCC 2019,National Authority,597.166,40.134,1252.962,121632.52,313.24,18.751,1089.24,MWh,211120,High,Synthetic,v1.0,Generated,23.3434,55.4651,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1890.262
Smelter 24,Nexus Petrochem,Australia,Asia-Pacific,Mining,FAC-024,Sunset Smelter 24,Smelter,2019,8,Total_GHG,1229.267,Hybrid,IPCC 2019,National Authority,550.944,78.892,599.431,173587.64,39.989,16.598,4973.93,MWh,212299,Medium,Synthetic,v1.0,Generated,-17.3022,135.753,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1229.267
Compressor 25,Gamma Mining Corp,India,Asia-Pacific,Oil & Gas,FAC-025,Granite Compressor Station 25,Compressor Station,2019,8,Total_GHG,2031.197,Emission Factor,IEA 2023,US EPA,1035.34,49.168,946.689,111784.83,917.342,35.197,974.77,MMscf,211120,Medium,Synthetic,v1.0,Generated,11.6346,73.2031,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2031.197
Offshore Platform 26,Delta Petroleum,USA,North America,Oil & Gas,FAC-026,Pioneer Offshore Platform 26,Offshore Platform,2023,2,Total_GHG,2665.018,Direct Measurement,EPA AP-42,US EPA,856.922,65.578,1742.518,150775.37,407.367,27.783,1265.31,kbbl/day-eq,211120,Medium,Synthetic,v1.0,Generated,39.9121,-110.1644,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2665.018
Blending Station 27,Nexus Petrochem,UK,Europe,Petrochemicals,FAC-027,Oakridge Blending Station 27,Blending Station,2019,2,Total_GHG,1974.379,Emission Factor,IPCC 2019,Local Authority,883.962,89.416,1001.001,238091.9,478.858,25.062,4045.52,MWh,325110,High,Synthetic,v1.0,Generated,50.608,-1.0939,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1974.379
Mine 28,Nexus Petrochem,Saudi Arabia,Middle East,Mining,FAC-028,Silverline Open-Pit Mine 28,Open-Pit Mine,2019,7,Total_GHG,902.774,Direct Measurement,IPCC 2019,Local Authority,452.95,113.627,336.197,273935.62,148.418,11.028,7649.4,MWh,212299,Medium,Synthetic,v1.0,Generated,25.5338,46.4306,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,902.774
Smelter 29,Orion Upstream,USA,North America,Mining,FAC-029,Pioneer Smelter 29,Smelter,2019,6,Total_GHG,903.058,Emission Factor,EU EMEP/EEA,EU ETS,494.204,90.37,318.484,257782.18,98.848,12.504,7704.74,MWh,212299,Medium,Synthetic,v1.0,Generated,36.8634,-105.1492,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,903.058
Smelter 30,Alpha Energy,Canada,North America,Mining,FAC-030,Lakeside Smelter 30,Smelter,2020,11,Total_GHG,945.667,Direct Measurement,IPCC 2019,EU ETS,490.363,106.659,348.645,271674.71,58.046,12.381,7680.0,MWh,212299,High,Synthetic,v1.0,Generated,50.9444,-104.4127,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,945.667
Polymer Plant 31,Delta Petroleum,UK,Europe,Petrochemicals,FAC-031,Sunset Polymer Plant 31,Polymer Plant,2024,9,Total_GHG,1019.247,Direct Measurement,EPA AP-42,EU ETS,530.228,89.181,399.838,262102.68,318.516,11.28,4468.25,tons/day,325110,Medium,Synthetic,v1.0,Generated,55.9088,-5.235,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1019.247
Refinery 32,Sequoia Refining,UAE,Middle East,Oil & Gas,FAC-032,Riverview Refinery 32,Refinery,2018,5,Total_GHG,2911.386,Emission Factor,IPCC 2019,EU ETS,906.234,85.518,1919.634,248399.93,355.641,26.72,2243.13,MMscf,211120,High,Synthetic,v1.0,Generated,23.8776,53.2023,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2911.386
Polymer Plant 33,Terra Minerals,Qatar,Middle East,Petrochemicals,FAC-033,Sunset Polymer Plant 33,Polymer Plant,2021,5,Total_GHG,1114.468,Direct Measurement,IPCC 2019,EU ETS,511.786,122.495,480.187,287771.6,854.682,9.404,5119.95,tons/day,325110,High,Synthetic,v1.0,Generated,24.901,50.8854,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1114.468
Blending Station 34,Epsilon Resources,USA,North America,Petrochemicals,FAC-034,Silverline Blending Station 34,Blending Station,2024,8,Total_GHG,1590.821,Hybrid,IEA 2023,Local Authority,668.177,73.616,849.028,189720.06,527.399,18.72,3179.86,tons/day,325110,Medium,Synthetic,v1.0,Generated,30.5554,-82.9966,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1590.821
Gas Plant 35,Sequoia Refining,South Africa,Africa,Oil & Gas,FAC-035,Pioneer Onshore Gas Plant 35,Onshore Gas Plant,2023,5,Total_GHG,991.772,Direct Measurement,IEA 2023,US EPA,390.199,70.98,530.593,191025.64,793.848,9.664,1591.73,MMscf,211120,Low,Synthetic,v1.0,Generated,-22.9457,24.5873,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,991.7719999999999
Mine 36,Gamma Mining Corp,India,Asia-Pacific,Mining,FAC-036,Highland Open-Pit Mine 36,Open-Pit Mine,2019,10,Total_GHG,693.8,Emission Factor,EPA AP-42,National Authority,345.22,76.034,272.546,219920.45,53.01,8.468,5744.54,MWh,212299,Medium,Synthetic,v1.0,Generated,18.3793,76.8446,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,693.8
Mine 37,Orion Upstream,UAE,Middle East,Mining,FAC-037,Cedar Open-Pit Mine 37,Open-Pit Mine,2024,9,Total_GHG,908.306,Direct Measurement,IEA 2023,Local Authority,359.997,151.654,396.655,343862.82,101.564,6.232,9524.33,tons/day,212299,Medium,Synthetic,v1.0,Generated,23.2931,55.8509,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,908.306
Smelter 38,Beta Oilfield Services,USA,North America,Mining,FAC-038,Lakeside Smelter 38,Smelter,2023,3,Total_GHG,1232.2,Emission Factor,EPA AP-42,Local Authority,594.488,54.282,583.43,160220.33,9.277,18.525,4530.38,tons/day,212299,High,Synthetic,v1.0,Generated,48.3555,-88.6854,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1232.2
Processing Plant 39,Vertex LNG,Australia,Asia-Pacific,Mining,FAC-039,Sunset Processing Plant 39,Processing Plant,2022,12,Total_GHG,1172.713,Emission Factor,EU EMEP/EEA,EU ETS,647.351,99.741,425.621,221014.02,102.67,18.939,6610.51,tons/day,212299,High,Synthetic,v1.0,Generated,-29.9625,122.2432,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1172.713
Smelter 40,Vertex LNG,Saudi Arabia,Middle East,Mining,FAC-040,Lakeside Smelter 40,Smelter,2022,7,Total_GHG,1343.907,Direct Measurement,EU EMEP/EEA,US EPA,608.37,101.772,633.765,238794.66,116.414,16.846,7507.96,MWh,212299,High,Synthetic,v1.0,Generated,29.044,48.7116,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1343.907
Mine 41,Vertex LNG,Canada,North America,Mining,FAC-041,Silverline Open-Pit Mine 41,Open-Pit Mine,2019,7,Total_GHG,1134.967,Hybrid,EU EMEP/EEA,Local Authority,592.845,117.78,424.342,353853.68,164.596,13.671,11049.71,tons/day,212299,Medium,Synthetic,v1.0,Generated,57.2007,-99.7903,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1134.967
Mine 42,Sequoia Refining,Canada,North America,Mining,FAC-042,Highland Open-Pit Mine 42,Open-Pit Mine,2019,12,Total_GHG,610.021,Direct Measurement,EPA AP-42,Local Authority,299.087,83.461,227.473,257096.04,90.438,5.862,6982.02,tons/day,212299,High,Synthetic,v1.0,Generated,49.3388,-79.7728,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,610.021
Blending Station 43,Sequoia Refining,Norway,Europe,Petrochemicals,FAC-043,Cedar Blending Station 43,Blending Station,2022,11,Total_GHG,1548.326,Hybrid,IEA 2023,US EPA,730.852,89.396,728.078,226640.31,582.264,18.866,4353.94,tons/day,325110,High,Synthetic,v1.0,Generated,60.2098,7.0532,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1548.326
Aromatics Unit 44,Nexus Petrochem,UAE,Middle East,Petrochemicals,FAC-044,Cedar Aromatics Unit 44,Aromatics Unit,2024,8,Total_GHG,1122.533,Hybrid,IPCC 2019,National Authority,506.122,92.728,523.683,218020.1,530.023,11.424,3907.79,MWh,325110,Medium,Synthetic,v1.0,Generated,23.8273,52.5106,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1122.533
Gathering Hub 45,Orion Upstream,UK,Europe,Oil & Gas,FAC-045,Oakridge Gathering Hub 45,Gathering Hub,2024,12,Total_GHG,2366.738,Hybrid,IEA 2023,US EPA,860.382,45.927,1460.429,117601.43,660.071,28.932,917.9,MWh,211120,Low,Synthetic,v1.0,Generated,55.0929,-1.7911,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,2366.738
Processing Plant 46,Delta Petroleum,Norway,Europe,Mining,FAC-046,Granite Processing Plant 46,Processing Plant,2022,9,Total_GHG,1043.053,Direct Measurement,IEA 2023,EU ETS,612.958,97.036,333.059,259319.66,127.982,16.809,7787.66,tons/day,212299,Medium,Synthetic,v1.0,Generated,68.2247,27.788,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1043.053
Concentrator 47,Beta Oilfield Services,Qatar,Middle East,Mining,FAC-047,Pioneer Concentrator 47,Concentrator,2020,11,Total_GHG,733.762,Hybrid,EPA AP-42,EU ETS,289.671,90.41,353.681,279038.88,140.31,4.885,7839.95,MWh,212299,Medium,Synthetic,v1.0,Generated,24.0278,51.0731,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,733.762
Concentrator 48,Nexus Petrochem,Canada,North America,Mining,FAC-048,Highland Concentrator 48,Concentrator,2021,2,Total_GHG,1291.487,Emission Factor,IPCC 2019,National Authority,579.611,123.829,588.047,299123.28,70.69,14.882,8741.05,tons/day,212299,Medium,Synthetic,v1.0,Generated,46.774,-56.729,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1291.487
Mine 49,Orion Upstream,UK,Europe,Mining,FAC-049,Granite Open-Pit Mine 49,Open-Pit Mine,2018,11,Total_GHG,1183.409,Hybrid,IPCC 2019,US EPA,686.66,88.196,408.553,263531.71,49.813,19.175,8255.01,MWh,212299,Medium,Synthetic,v1.0,Generated,53.5471,1.5056,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1183.409
Gathering Hub 50,Delta Petroleum,Canada,North America,Oil & Gas,FAC-050,Sunset Gathering Hub 50,Gathering Hub,2019,4,Total_GHG,3444.61,Direct Measurement,IPCC 2019,EU ETS,1143.395,37.107,2264.108,91298.91,437.36,39.921,719.3,kbbl/day-eq,211120,High,Synthetic,v1.0,Generated,65.4051,-91.2297,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,3444.61
Gathering Hub 51,Orion Upstream,USA,North America,Oil & Gas,FAC-051,Silverline Gathering Hub 51,Gathering Hub,2021,9,Total_GHG,885.207,Hybrid,EPA AP-42,National Authority,413.815,61.921,409.471,131393.2,882.704,11.978,1100.17,kbbl/day-eq,211120,Medium,Synthetic,v1.0,Generated,29.1819,-120.9609,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,885.207
Smelter 52,Nexus Petrochem,Canada,North America,Mining,FAC-052,Westfield Smelter 52,Smelter,2018,6,Total_GHG,1049.738,Hybrid,EU EMEP/EEA,US EPA,563.663,102.018,384.057,245481.59,96.269,15.149,7580.49,tons/day,212299,Medium,Synthetic,v1.0,Generated,56.2373,-59.9463,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1049.738
Polymer Plant 53,Nexus Petrochem,India,Asia-Pacific,Petrochemicals,FAC-053,Pioneer Polymer Plant 53,Polymer Plant,2021,7,Total_GHG,1332.635,Direct Measurement,EU EMEP/EEA,US EPA,465.391,82.619,784.625,249798.27,627.818,8.637,4609.3,MWh,325110,Medium,Synthetic,v1.0,Generated,25.7618,76.2763,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1332.635
Gathering Hub 54,Alpha Energy,South Africa,Africa,Oil & Gas,FAC-054,Oakridge Gathering Hub 54,Gathering Hub,2018,7,Total_GHG,851.883,Hybrid,IEA 2023,EU ETS,374.374,63.603,413.906,171903.57,685.336,9.892,1316.39,MWh,211120,Medium,Synthetic,v1.0,Generated,-22.5205,26.4253,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,851.883
Gas Plant 55,Terra Minerals,Saudi Arabia,Middle East,Oil & Gas,FAC-055,Lakeside Onshore Gas Plant 55,Onshore Gas Plant,2024,7,Total_GHG,2609.473,Hybrid,EPA AP-42,Local Authority,1192.629,78.683,1338.161,216880.96,1085.323,38.649,1767.2,MWh,211120,High,Synthetic,v1.0,Generated,17.7233,38.1785,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,2609.473
Gathering Hub 56,Nexus Petrochem,Canada,North America,Oil & Gas,FAC-056,Northshore Gathering Hub 56,Gathering Hub,2018,12,Total_GHG,2026.212,Direct Measurement,IEA 2023,EU ETS,981.538,74.364,970.31,181016.38,607.446,31.577,1533.05,MMscf,211120,Medium,Synthetic,v1.0,Generated,46.8306,-84.2809,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2026.212
Gas Plant 57,Vertex LNG,Qatar,Middle East,Oil & Gas,FAC-057,Highland Onshore Gas Plant 57,Onshore Gas Plant,2019,9,Total_GHG,2480.658,Direct Measurement,IPCC 2019,EU ETS,748.175,32.342,1700.141,91031.14,595.264,25.087,822.61,MMscf,211120,High,Synthetic,v1.0,Generated,24.9713,50.8841,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2480.658
Gas Plant 58,Epsilon Resources,Saudi Arabia,Middle East,Oil & Gas,FAC-058,Cedar Onshore Gas Plant 58,Onshore Gas Plant,2019,3,Total_GHG,1618.412,Emission Factor,IPCC 2019,Local Authority,618.673,52.67,947.069,120051.35,658.948,19.635,1057.51,MWh,211120,Medium,Synthetic,v1.0,Generated,17.7998,41.4608,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1618.412
Blending Station 59,Epsilon Resources,Canada,North America,Petrochemicals,FAC-059,Riverview Blending Station 59,Blending Station,2024,10,Total_GHG,1605.706,Emission Factor,IEA 2023,Local Authority,737.158,103.405,765.143,269759.6,872.182,17.276,5345.01,MWh,325110,Medium,Synthetic,v1.0,Generated,53.9359,-54.9744,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1605.706
Cracker Unit 60,Terra Minerals,Australia,Asia-Pacific,Petrochemicals,FAC-060,Granite Cracker Unit 60,Cracker Unit,2023,11,Total_GHG,1808.022,Hybrid,EU EMEP/EEA,National Authority,587.871,120.798,1099.353,363787.72,443.749,8.405,7185.1,tons/day,325110,Medium,Synthetic,v1.0,Generated,-28.928,144.4967,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1808.022
Concentrator 61,Orion Upstream,Norway,Europe,Mining,FAC-061,Oakridge Concentrator 61,Concentrator,2020,5,Total_GHG,655.699,Direct Measurement,EU EMEP/EEA,National Authority,256.09,85.678,313.931,257849.71,45.23,4.006,7356.34,MWh,212299,Medium,Synthetic,v1.0,Generated,63.7169,17.1919,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,655.699
Cracker Unit 62,Vertex LNG,South Africa,Africa,Petrochemicals,FAC-062,Pioneer Cracker Unit 62,Cracker Unit,2022,3,Total_GHG,1702.378,Emission Factor,EU EMEP/EEA,EU ETS,821.924,99.404,781.05,285963.83,994.741,19.837,5647.16,MWh,325110,High,Synthetic,v1.0,Generated,-26.178,22.8229,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1702.378
Smelter 63,Orion Upstream,South Africa,Africa,Mining,FAC-063,Granite Smelter 63,Smelter,2018,6,Total_GHG,1168.286,Direct Measurement,EPA AP-42,Local Authority,604.178,63.55,500.558,170221.72,75.877,18.475,5082.91,MWh,212299,Low,Synthetic,v1.0,Generated,-33.3716,27.4633,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1168.286
Processing Plant 64,Sequoia Refining,Canada,North America,Mining,FAC-064,Granite Processing Plant 64,Processing Plant,2024,3,Total_GHG,900.07,Emission Factor,IEA 2023,EU ETS,376.358,80.855,442.857,228230.37,52.17,9.178,6335.83,tons/day,212299,Low,Synthetic,v1.0,Generated,51.3587,-106.8522,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,900.07
Mine 65,Terra Minerals,Australia,Asia-Pacific,Mining,FAC-065,Northshore Open-Pit Mine 65,Open-Pit Mine,2023,6,Total_GHG,1493.646,Direct Measurement,EU EMEP/EEA,Local Authority,628.112,186.881,678.653,402393.3,32.571,14.8,11277.61,tons/day,212299,Medium,Synthetic,v1.0,Generated,-15.4625,148.5799,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1493.646
Concentrator 66,Vertex LNG,UK,Europe,Mining,FAC-066,Pioneer Concentrator 66,Concentrator,2024,4,Total_GHG,1328.272,Direct Measurement,EPA AP-42,US EPA,539.761,166.483,622.028,369386.51,58.519,12.024,10635.41,MWh,212299,Medium,Synthetic,v1.0,Generated,54.2721,-4.9053,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1328.272
Cracker Unit 67,Terra Minerals,Canada,North America,Petrochemicals,FAC-067,Highland Cracker Unit 67,Cracker Unit,2021,9,Total_GHG,1859.693,Emission Factor,IEA 2023,National Authority,849.179,82.319,928.195,213049.86,824.796,23.466,4218.07,MWh,325110,Low,Synthetic,v1.0,Generated,50.6967,-72.8457,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1859.693
